FS   Other            RA (J2000)  Dec              I                  Z                 J(98)                H(98)                K(98)                L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N      mag    sem    N     mag    sem   N    mag    sem   N 
17   M67-IV-27    08 51 19.31 +11 52 10.4    &     &     &      &     &     &    12.675 (0.005) [10]  12.339 (0.004) [10]  12.276 (0.003) [10]    &     &     &     &     &     &
18   SA100-280    08 53 35.51 -00 36 41.7  11.10 (0.02)  &    10.98 (0.02)  &    10.812 (0.005) [11]  10.570 (0.003) [11]  10.521 (0.002) [11]    &     &     &     &     &     &
124  lhs254       08 54 12.07 -08 04 58.9  12.94 (0.03) [01]  12.28 (0.01) [02]  11.500 (0.011) [07]  11.082 (0.008) [07]  10.761 (0.005) [06]    &     &     &     &     &     &
&    HD77281      09 01 38.01 -01 28 34.8    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.04 (0.02) [05]  7.02 (0.03) [05]
125  p259-c       09 03 20.60 +34 21 03.9    &     &     &      &     &     &    10.789 (0.007) [09]  10.428 (0.006) [10]  10.365 (0.005) [10]  10.30 (0.04) [03]   &     &     &
126  p487-f       09 19 18.73 +10 55 54.2    &     &     &      &     &     &    12.335 (0.009) [10]  11.794 (0.007) [09]  11.667 (0.006) [10]    &     &     &     &     &     &
&    GL347A       09 28 53.5  -07 22 15      &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.37 (0.01) [03]   &     &     &
&    HD84800      09 48 44.64 +43 39 55.6    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.55 (0.01) [04]  7.56 (0.02) [05]
127  p212-c       10 06 29.03 +41 01 26.6  12.33 (0.03) [06]    &     &     &    11.964 (0.007) [09]  11.714 (0.005) [10]  11.667 (0.004) [10]    &     &     &     &     &     &
19   G162-66      10 33 42.75 -11 41 38.3  13.32 (0.02)  &    13.35 (0.02)  &    13.565 (0.010) [09]  13.647 (0.009) [09]  13.786 (0.006) [09]    &     &     &     &     &     &
&    P550-C       10 33 51.80 +04 49 05.0    &     &     &      &     &     &    12.306 (0.014) [02]  12.080 (0.010) [02]  12.039 (0.001) [02]    &     &     &     &     &     &
128  lhs2347      11 05 10.40 +07 06 48.7  14.66 (0.03) [01]    &     &     &    12.967 (0.011) [05]  12.431 (0.008) [06]  12.059 (0.006) [05]    &     &     &     &     &     &
20   G163-50      11 07 59.93 -05 09 26.1  13.24 (0.02)  &    13.26 (0.02)  &    13.414 (0.014) [06]  13.453 (0.013) [06]  13.522 (0.010) [06]    &     &     &     &     &     &
129  lhs2397a     11 21 48.95 -13 13 07.9  14.20 (0.03) [01]    &     &     &    11.809 (0.013) [08]  11.186 (0.009) [07]  10.652 (0.008) [08]  10.03 (0.03) [01]   &     &     &
130  p264-f       11 24 55.92 +34 44 38.5    &     &     &      &     &     &    12.966 (0.010) [07]  12.390 (0.006) [06]  12.252 (0.005) [06]    &     &     &     &     &     &
21   GD140        11 37 05.15 +29 47 58.4  12.80 (0.03) [01]  12.89 (0.03) [01]  13.016 (0.006) [09]  13.062 (0.004) [09]  13.168 (0.002) [09]    &     &     &     &     &     &
&    BS4550       11 52 58.77 +37 43 07.2    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &     &     &    4.41   &     &
&    HD105601     12 09 27.80 +38 37 54.6    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     6.66 (0.02) [02]  6.71 (0.03) [02]
131  p266-c       12 14 25.40 +35 35 55.6  11.96 (0.04) [05]    &     &     &    11.596 (0.008) [06]  11.347 (0.006) [05]  11.308 (0.005) [05]    &     &     &     &     &     &
&    HD106965     12 17 57.54 +01 34 31.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.31 (0.01) [05]  7.32 (0.04) [03]
132  s860-d       12 21 39.36 -00 07 13.3  12.59 (0.03) [01]  12.44 (0.03) [01]  12.157 (0.008) [07]  11.875 (0.006) [06]  11.835 (0.004) [06]    &     &     &     &     &     &
