FS   Other            RA (J2000)  Dec              I                  Z                 J(98)                H(98)                K(98)                L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N      mag    sem    N     mag    sem   N    mag    sem   N 
16   M67-IV-8     08 51 15.01 +11 49 21.2  13.38 (0.03) [01]    &     &     &    12.993 (0.014) [03]  12.707 (0.007) [03]  12.652 (0.018) [03]    &     &     &       &     &     &
17   M67-IV-27    08 51 19.31 +11 52 10.4    &     &     &      &     &     &    12.658 (0.010) [03]  12.346 (0.016) [03]  12.274 (0.009) [03]    &     &     &       &     &     &
18   SA100-280    08 53 35.51 -00 36 41.7  11.10 (0.02)  &    10.98 (0.02)  &    10.812 (0.030) [00]  10.570 (0.030) [00]  10.521 (0.030) [00]    &     &     &       &     &     &
124  lhs254       08 54 12.60 -08 05 03.0  12.94 (0.03) [01]  12.28 (0.01) [02]  11.478 (0.023) [04]  11.077 (0.011) [04]  10.738 (0.022) [04]    &     &     &       &     &     &
&    HD77281      09 01 38.01 -01 28 34.8    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.041 (0.014) [05]  7.02 (0.03) [05]
125  p259-c       09 03 20.60 +34 21 03.9    &     &     &      &     &     &    10.800 (0.011) [03]  10.435 (0.005) [03]  10.378 (0.019) [04]  10.33 (0.03) [03]     &     &     &
126  p487-f       09 19 18.73 +10 55 54.2    &     &     &      &     &     &    12.318 (0.012) [03]  11.783 (0.006) [03]  11.651 (0.012) [03]    &     &     &       &     &     &
&    GL347A       09 28 53.50 -07 22 15.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.367 (0.014) [03]   &     &     &
&    S852-C       09 41 35.80 +00 33 12.0    &     &     &      &     &     &    11.325 (0.006) [02]  11.025 (0.004) [02]  10.976 (0.014) [02]    &     &     &       &     &     &
&    HD84800      09 48 44.64 +43 39 55.6    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.547 (0.013) [05]  7.56 (0.02) [05]
