FS   Other            RA (J2000)  Dec              I                  Z                Y(MKO)                J(MKO)               H(MKO)               K(MKO)               L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N     mag     sem    N      mag    sem    N     mag     sem    N     mag   sem   N 
127  p212-c       10 06 29.03 +41 01 26.6  12.33 (0.03) [06]    &     &     &      &      &      &    11.969 (0.007) [04]  11.727 (0.008) [05]  11.685 (0.011) [05]    &      &      &     &     &     &
19   G162-66      10 33 42.75 -11 41 38.3  13.32 (0.02)  &    13.35 (0.02)  &    13.535 (0.014) [14]  13.625 (0.015) [06]  13.691 (0.012) [07]  13.789 (0.017) [06]    &      &      &     &     &     &
&    P550-C       10 33 51.80 +04 49 05.0    &     &     &      &     &     &      &      &      &    12.293 (0.014) [03]  12.083 (0.004) [03]  12.052 (0.008) [03]    &      &      &     &     &     &
128  lhs2347      11 05 10.40 +07 06 48.7  14.66 (0.03) [01]    &     &     &      &      &      &    12.985 (0.008) [03]  12.421 (0.005) [03]  12.046 (0.017) [03]    &      &      &     &     &     &
20   G163-50      11 07 59.93 -05 09 26.1  13.24 (0.02)  &    13.26 (0.02)  &    13.389 (0.006) [5]   13.427 (0.010) [04]  13.457 (0.005) [05]  13.509 (0.006) [03]    &      &      &     &     &     &
129  lhs2397a     11 21 48.95 -13 13 07.9  14.20 (0.03) [01]    &     &     &      &      &      &    11.792 (0.005) [05]  11.173 (0.010) [05]  10.639 (0.009) [05]  10.03  (0.03)  [01]   &     &     &
130  p264-f       11 24 55.92 +34 44 38.5    &     &     &      &     &     &      &      &      &    12.980 (0.008) [02]  12.402 (0.005) [03]  12.262 (0.011) [03]    &      &      &     &     &     &
21   GD140        11 37 05.15 +29 47 58.4  12.80 (0.03) [01]  12.89 (0.03) [01]  12.953 (0.013) [8]   13.021 (0.007) [03]  13.075 (0.011) [03]  13.167 (0.017) [03]    &      &      &     &     &     &
&    BS4550       11 52 58.77 +37 43 07.2    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &      &      &      &    4.41   &     &
&    HD105601     12 09 27.80 +38 37 54.6    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     6.669 (0.014) [03]  6.70 (0.02) [03]
131  p266-c       12 14 25.40 +35 35 55.6  11.96 (0.04) [05]    &     &     &      &      &      &    11.617 (0.009) [03]  11.362 (0.010) [03]  11.324 (0.012) [04]    &      &      &     &     &     &
&    HD106965     12 17 57.54 +01 34 31.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     7.311 (0.010) [06]  7.32 (0.04) [03]
132  s860-d       12 21 39.36 -00 07 13.3  12.59 (0.03) [01]  12.44 (0.03) [01]  12.370 (0.016) [4]   12.159 (0.012) [04]  11.879 (0.015) [04]  11.835 (0.012) [04]    &      &      &     &     &     &
33   GD153        12 57 02.30 +22 01 52.8    &     &     &      &     &     &    13.929 (0.017) [5]   14.085 (0.007) [03]  14.165 (0.010) [03]  14.296 (0.011) [02]    &      &      &     &     &     &
133  p172-e       13 15 52.80 +46 06 36.9    &     &     &      &     &     &      &      &      &    12.330 (0.011) [03]  11.971 (0.006) [03]  11.909 (0.008) [03]    &      &      &     &     &     &
&    S791-C       13 17 29.60 -05 32 37.0    &     &     &      &     &     &      &      &      &    11.605 (0.011) [03]  11.283 (0.014) [03]  11.227 (0.015) [04]    &      &      &     &     &     &
23   M3-193       13 41 43.57 +28 29 49.5    &     &     &      &     &     &    13.358 (0.009) [4]   12.990 (0.006) [03]  12.488 (0.004) [03]  12.397 (0.009) [03]    &      &      &     &     &     &
&    P133-C       13 58 40.20 +52 06 24.0    &     &     &      &     &     &      &      &      &    11.113 (0.024) [04]  10.876 (0.006) [04]  10.832 (0.009) [05]    &      &      &     &     &     &
&    HD121968     13 58 51.17 -02 54 52.3  10.44 (0.02)  &    10.41 (0.03)  &      &      &      &      &      &      &      &      &      &      &      &      &      &      &      &     &     &     &
&    P499-E       14 07 33.90 +12 23 51.0    &     &     &      &     &     &      &      &      &    11.893 (0.008) [03]  11.560 (0.031) [03]  11.528 (0.008) [02]    &      &      &     &     &     &
134  lhs2924      14 28 43.37 +33 10 41.5    &     &     &      &     &     &      &      &      &    11.885 (0.013) [04]  11.251 (0.010) [05]  10.721 (0.013) [05]  10.10  (0.02)  [03]   &     &     &
135  s867-v       14 40 58.04 -00 27 46.6    &     &     &      &     &     &      &      &      &    11.965 (0.010) [02]  11.669 (0.007) [03]  11.604 (0.007) [03]    &      &      &     &     &     &
&    HD129653     14 42 39.56 +36 45 24.3    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     6.920 (0.014) [03]  6.99 (0.02) [03]
&    HD129655     14 43 46.44 -02 30 20.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     6.666 (0.014) [03]  6.69 (0.02) [03]
&    P272-D       14 58 33.10 +37 08 33.0    &     &     &      &     &     &    11.839 (0.002) [2]   11.601 (0.008) [04]  11.267 (0.011) [04]  11.212 (0.008) [04]    &      &      &     &     &     &
136  S868-G       14 59 32.05 -00 06 17.0    &     &     &      &     &     &      &      &      &    12.531 (0.012) [04]  12.014 (0.009) [05]  11.893 (0.012) [05]    &      &      &     &     &     &
&    T868-53850   15 00 26.40 -00 39 29.0    &     &     &      &     &     &      &      &      &    11.517 (0.009) [03]  10.988 (0.010) [03]  10.617 (0.014) [03]    &      &      &     &     &     &
&    T868-110639  15 10 17.00 -02 41 05.0    &     &     &      &     &     &      &      &      &    12.530 (0.020) [04]  11.875 (0.009) [04]  11.306 (0.015) [02]    &      &      &     &     &     &
&    HD136754     15 21 34.53 +24 20 36.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     7.158 (0.010) [05]  7.13 (0.04) [04]
&    PG1528+062B  15 30 39.00 +06 01 13.0  11.14 (0.02)  &    11.01 (0.03)  &      &      &      &      &      &      &      &      &      &      &      &      &      &      &      &     &     &     &
&    S870-T       15 39 03.50 +00 14 54.0    &     &     &      &     &     &      &      &      &    10.862 (0.005) [03]  10.667 (0.012) [03]  10.632 (0.012) [03]    &      &      &     &     &     &
&    P177-D       15 59 13.60 +47 36 40.0    &     &     &      &     &     &      &      &      &    12.212 (0.024) [04]  11.920 (0.006) [04]  11.865 (0.010) [03]    &      &      &     &     &     &
&    BS6092       16 19 44.44 +46 18 48.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &      &      &      &    4.37 (0.03) [02]
137  p565-c       16 26 42.72 +05 52 20.3    &     &     &      &     &     &      &      &      &    12.140 (0.017) [03]  11.893 (0.006) [03]  11.838 (0.009) [03]    &      &      &     &     &     &
138  p275-a       16 28 06.72 +34 58 48.3    &     &     &      &     &     &    10.459 (0.013) [2]   10.391 (0.015) [04]  10.391 (0.014) [04]  10.416 (0.008) [03]  10.44  (0.03)  [03]   &     &     &
&    P330-E       16 31 33.60 +30 08 48.0    &     &     &      &     &     &      &      &      &    11.772 (0.017) [05]  11.455 (0.017) [05]  11.419 (0.011) [04]    &      &      &     &     &     &
139  p137-f       16 33 52.96 +54 28 22.1    &     &     &      &     &     &      &      &      &    12.671 (0.023) [05]  12.228 (0.015) [05]  12.126 (0.010) [05]    &      &      &     &     &     &
&    SA108-475    16 37 00.00 -00 34 39.0   9.66 (0.02)  &     9.41 (0.03)  &      &      &      &      &      &      &      &      &      &      &      &      &      &      &      &     &     &     &
27   M13-A14      16 40 41.56 +36 21 12.4    &     &     &      &     &     &    13.760 (0.011) [3]   13.470 (0.011) [04]  13.199 (0.005) [03]  13.135 (0.008) [04]    &      &      &     &     &     &
